id,name,age,city
1,Alice,30,New York
2,Bob,25,Los Angeles
3,Charlie,28,Chicago
4,Diana,35,Boston
5,Ethan,40,Austin
6,Fiona,23,San Francisco
7,George,32,Seattle
8,Hannah,27,Denver
9,Ian,45,Miami
10,Jade,31,Philadelphia
11,Kyle,29,Portland
12,Laura,33,Atlanta
13,Mike,26,Houston
14,Nina,36,San Diego
15,Owen,24,Phoenix
16,Paula,38,San Jose
17,Quinn,41,Dallas
18,Rachel,22,Orlando
19,Steve,34,Las Vegas
20,Tina,30,Minneapolis
21,Uma,37,Detroit
22,Victor,39,Columbus
23,Wendy,21,Charlotte
24,Xander,28,Indianapolis
25,Yara,42,Milwaukee
26,Zane,44,San Antonio
27,Amber,29,Kansas City
28,Bruno,25,Nashville
29,Cara,31,Oklahoma City
30,Devon,27,Raleigh
